# Instr, asmformat/pseudo, argformat, 
ADD,R,RRR
ADDI,I,RRI
SUB,R,RRR
AND,R,RRR
ANDI,I,RRI
OR,R,RRR
ORI,I,RRI
XOR,R,RRR
XORI,I,RRI
SLL,R,RRR
SLLI,I,RRI
SRL,R,RRR
SRLI,I,RRI
SRA,R,RRR
SRAI,I,RRI
SLT,R,RRR
SLTI,I,RRI
SLTU,R,RRR
SLTUI,I,RRI
LB,R,RIR
LBU,R,RIR
LH,R,RIR
LHU,R,RIR
LW,R,RIR
SB,S,RIR
SH,S,RIR
SW,S,RIR
BEQ,B,RRI
BNE,B,RRI
BGE,B,RRI
BGEU,B,RRI
BLT,B,RRI
BLTU,B,RRI
JAL,J,RI
JALR,J,RIR
LUI,U,RI
AUIPC,U,RI
FENCE,I,FENCE
FENCE_I,I,NONE
ECALL,I,NONE
EBREAK,I,NONE
CSRRC,I,CSRR
CSRRCI,I,CSRRI
CSRRS,I,CSRR
CSRRSI,I,CSRRI
CSRRW,I,CSRR
CSRRWI,I,CSRRI
# PSEUDO:
NEG,P,RR
NOT,P,RR
SEQZ,P,RR
SGTZ,P,RR
SLTZ,P,RR
SNEZ,P,RR
LA,P,RS
LI,P,RI
LLA,P,RS
MV,P,RR
BEQZ,P,RI
BGEZ,P,RI
BGT,P,RRI
BGTU,P,RRI
BGTZ,P,RI
BLE,P,RRI
BLEU,P,RRI
BLEZ,P,RI
BLTZ,P,RI
BNEZ,P,RI
CALL,P,ORS
J,P,I
JR,P,R
RET,P,NONE
TAIL,P,S
CSRR,P,CSR
CSRC,P,CSR
CSRCI,P,CSRI
CSRS,P,CSR
CSRSI,P,CSRI
CSRW,P,CSR
CSRWI,P,CSRI
RDCYCLE,P,R
RDCYCLEH,P,R
RDINSTRET,P,R
RDINSTRETH,P,R
RDTIME,P,R
RDTIMEH,P,R
